date,type,price,shares,value
2020-05-28,buy,103.1754552,969,99977.0160888
2020-09-02,sell,106.11184857,969,102822.38126433
2020-12-02,buy,107.14306187,959,102750.19633333
2021-01-07,sell,102.39948069,959,98201.10198171
2021-01-14,buy,102.70884468,957,98292.36435876
2021-04-28,sell,106.52433389,957,101943.78753273
2022-01-21,buy,95.3270472,1069,101904.6134568
2022-02-17,sell,93.48550197,1069,99936.00160593
2022-02-18,buy,93.91880673,1064,99929.61036072
2022-02-23,sell,93.05219721,1064,99007.53783144
2022-07-11,buy,85.5776901,1157,99013.38744569999
2022-07-15,sell,84.4944282,1157,97760.0534274
2022-12-05,buy,84.27175647,1160,97755.2375052
2023-02-24,sell,83.01396906,1160,96296.20410959999
2023-04-19,buy,86.67298698,1111,96293.68853478
2023-06-15,sell,85.64388819,1111,95150.35977909
2023-08-01,buy,91.17686718,1044,95188.64933592
2023-09-05,sell,85.08247632,1044,88826.10527808
2024-02-07,buy,84.00699558,1057,88795.39432805999
2024-09-24,sell,112.6097379,1057,119028.4929603
2024-09-25,buy,118.3083605,1006,119018.210663
2024-12-06,sell,121.2815549,1006,122009.2442294
